word,Pleasantness,P_Deviation,Activation,A_Deviation,Imagery,I_Deviation,Words found from dictionary
a,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
abandon,1.00000,0.85000,2.37500,0.70500,2.40000,0.88000,1
abandoned,1.14290,0.70710,2.10000,0.43000,3.00000,1.48000,1
abandonment,1.00000,0.85000,2.00000,0.33000,1.40000,0.12000,1
abated,1.66670,0.18330,1.33330,0.33670,1.20000,0.32000,1
abilities,2.50000,0.65000,2.11110,0.44110,2.20000,0.68000,1
ability,2.57140,0.72140,2.50000,0.83000,2.40000,0.88000,1
able,2.20000,0.35000,1.62500,0.04500,2.00000,0.48000,1
abnormal,1.00000,0.85000,2.00000,0.33000,2.40000,0.88000,1
aboard,1.80000,0.05000,1.87500,0.20500,2.80000,1.28000,1
abolition,1.50000,0.35000,2.18180,0.51180,1.60000,0.08000,1
abortion,1.00000,0.85000,2.72730,1.05730,2.60000,1.08000,1
about,1.71430,0.13570,1.30000,0.37000,1.40000,0.12000,1
above,2.20000,0.35000,1.25000,0.42000,2.40000,0.88000,1
abroad,2.60000,0.75000,1.75000,0.08000,2.20000,0.68000,1
abrupt,1.28570,0.56430,2.30000,0.63000,2.40000,0.88000,1
abruptly,1.14290,0.70710,2.20000,0.53000,2.20000,0.68000,1
abscess,1.12500,0.72500,1.54550,0.12450,2.00000,0.48000,1
absence,1.50000,0.35000,1.55560,0.11440,2.60000,1.08000,1
absent,1.00000,0.85000,1.30000,0.37000,2.00000,0.48000,1
absolute,1.66670,0.18330,1.44440,0.22560,1.60000,0.08000,1
absolutely,1.60000,0.25000,1.50000,0.17000,1.80000,0.28000,1
absorb,1.80000,0.05000,1.75000,0.08000,2.20000,0.68000,1
absorbed,1.40000,0.45000,1.62500,0.04500,2.00000,0.48000,1
absorption,1.77780,0.07220,1.66670,0.00330,1.60000,0.08000,1
abstract,1.66670,0.18330,1.44440,0.22560,1.80000,0.28000,1
abstraction,1.42860,0.42140,1.40000,0.27000,1.60000,0.08000,1
absurd,1.00000,0.85000,1.50000,0.17000,2.20000,0.68000,1
abundance,2.66670,0.81670,1.55560,0.11440,3.00000,1.48000,1
abuse,1.42860,0.42140,2.50000,0.83000,3.00000,1.48000,1
abusers,1.25000,0.60000,2.72730,1.05730,2.60000,1.08000,1
abusing,1.25000,0.60000,2.81820,1.14820,2.60000,1.08000,1
abusive,1.66670,0.18330,2.66670,0.99670,2.40000,0.88000,1
abut,1.71430,0.13570,1.40000,0.27000,1.20000,0.32000,1
academic,1.80000,0.05000,1.50000,0.17000,2.60000,1.08000,1
academy,2.00000,0.15000,1.62500,0.04500,3.00000,1.48000,1
accelerated,2.16670,0.31670,2.44440,0.77440,3.00000,1.48000,1
acceleration,2.28570,0.43570,2.50000,0.83000,2.40000,0.88000,1
accept,2.44440,0.59440,1.50000,0.17000,1.80000,0.28000,1
acceptable,1.88890,0.03890,1.50000,0.17000,1.40000,0.12000,1
acceptance,2.50000,0.65000,1.42860,0.24140,1.60000,0.08000,1
accepted,1.66670,0.18330,1.33330,0.33670,1.80000,0.28000,1
accepting,1.50000,0.35000,1.28570,0.38430,2.00000,0.48000,1
